,Name,Country,Type,lat,lng,Elevation,geometry
350,Sollipulli ,            Chile          ,            Caldera          ,-38.970001220703125,-71.5199966430664,2282.0,POINT (-71.51999664306641 -38.97000122070312)
351,Soputan ,            Indonesia          ,            Stratovolcano          ,1.1100000143051147,124.7300033569336,1784.0,POINT (124.7300033569336 1.110000014305115)
352,Soufriere Guadeloupe ,            France          ,            Stratovolcano          ,16.049999237060547,-61.66999816894531,1467.0,POINT (-61.66999816894531 16.04999923706055)
353,Soufrière Hills ,            United Kingdom          ,            Stratovolcano          ,16.719999313354492,-62.18000030517578,915.0,POINT (-62.18000030517578 16.71999931335449)
354,Soufrière St. Vincent ,            St. Vincent          ,            Stratovolcano          ,13.329999923706055,-61.18000030517578,1220.0,POINT (-61.18000030517578 13.32999992370605)
355,South Island ,            Kenya          ,,2.630000114440918,36.599998474121094,800.0,POINT (36.59999847412109 2.630000114440918)
356,SP Mountain ,            United States          ,            Cinder Cone          ,35.599998474121094,-111.5999984741211,2141.0,POINT (-111.5999984741211 35.59999847412109)
357,Spurr ,            United States          ,            Stratovolcano          ,61.29999923706055,-152.25,3374.0,POINT (-152.25 61.29999923706055)
358,Srednii ,            Russia          ,            Submarine          ,47.599998474121094,152.9199981689453,36.0,POINT (152.9199981689453 47.59999847412109)
359,Steller ,            United States          ,            Stratovolcano          ,58.400001525878906,-154.39999389648438,2272.0,POINT (-154.3999938964844 58.40000152587891)
360,Stromboli ,            Italy          ,            Stratovolcano          ,38.790000915527344,15.210000038146973,924.0,POINT (15.21000003814697 38.79000091552734)
361,Sumaco ,            Ecuador          ,            Stratovolcano          ,-0.5400000214576721,-77.62999725341797,3990.0,POINT (-77.62999725341797 -0.5400000214576721)
362,Sumbing ,            Indonesia          ,            Stratovolcano          ,-7.380000114440918,110.06999969482422,3371.0,POINT (110.0699996948242 -7.380000114440918)
363,Sundoro ,            Indonesia          ,            Stratovolcano          ,-7.300000190734863,109.98999786376953,3136.0,POINT (109.9899978637695 -7.300000190734863)
364,Sunset Craters ,            United States          ,            Cinder Cone          ,35.369998931884766,-111.5,2447.0,POINT (-111.5 35.36999893188477)
365,Suswa ,            Kenya          ,            Shield          ,-1.1799999475479126,36.349998474121094,2356.0,POINT (36.34999847412109 -1.179999947547913)
366,Suwanose-jima ,            Japan          ,            Stratovolcano          ,29.639999389648438,129.72000122070312,799.0,POINT (129.7200012207031 29.63999938964844)
367,Taal ,            Philippines          ,            Caldera          ,14.0,120.98999786376953,311.0,POINT (120.9899978637695 14)
368,Talang ,            Indonesia          ,            Stratovolcano          ,-0.9800000190734863,100.68000030517578,2597.0,POINT (100.6800003051758 -0.9800000190734863)
369,Tambora ,            Indonesia          ,            Stratovolcano          ,-8.25,118.0,2850.0,POINT (118 -8.25)
