,Country,lat,lng,Depth_km,Mag,Secondary_Effects,PDE_Shaking_Deaths,PDE_Deaths,Utsu_Deaths,EM-DAT_Deaths,Other_Deaths,Year,Month,Day,Max_Deaths,geometry,Stratovolcano,Caldera,Shield,Complex Volcano,Submarine,Volcanic Field,Cinder Cone,Dome,Fissure vents,Somma Volcano,Maar,Pyroclastic Cone,Tuff Ring,Plug,None,vol,closest_vol
1006,Indonesia,0.7139999866485596,119.90499877929688,24.0,7.900000095367432,T,8.0,9.0,10.0,0.0,,1996,01,01,10.0,POINT (119.9049987792969 0.7139999866485596),4.841227653820804,7.583967164538311,31.255517611300988,8.025801163698837,31.931051729204032,48.40663620617961,35.94673128761824,34.54518434857127,107.83427647528238,56.56603081419581,81.88427794010018,28.48340709690351,235.8159737954686,228.85232131007604,4.841227653820804,4.841227653820804,Stratovolcano
1007,China,27.270999908447266,100.26200103759766,12.199999809265137,6.599999904632568,,322.0,322.0,309.0,0.0,,1996,02,03,322.0,POINT (100.2620010375977 27.27099990844727),8.456316662930538,24.612380847772503,32.16098574103676,22.704073235652427,45.28917994953045,33.59606985459747,60.37626267120594,31.74195599183759,84.68513891933237,55.648313526531695,64.82702284979797,16.28374440050999,212.85696935944785,205.6932541665782,8.456316662930538,8.456316662930538,Stratovolcano
1008,Indonesia,-0.9179999828338623,136.97300720214844,35.79999923706055,8.199999809265137,T,108.0,166.0,166.0,0.0,,1996,02,17,166.0,POINT (136.9730072021484 -0.9179999828338623),8.123087971672566,9.747171210610441,15.59157210530283,9.471991040845207,22.487252177700263,50.81061768169015,18.9493081244073,34.64430875878769,124.78987514662856,50.40868822609964,99.02990900572254,35.88110026747462,252.8999952737144,245.92220135360304,8.123087971672566,8.123087971672566,Stratovolcano
1009,Peru,-9.722000122070312,-79.86799621582031,15.0,7.5,T,0.0,7.0,,0.0,,1996,02,21,7.0,POINT (-79.86799621582031 -9.722000122070312),7.871725955100765,14.96426376100428,14.592769343203363,14.0773942777566,28.587206335564222,50.67890865670028,23.258075449455173,99.71261456726351,76.06705808125633,106.9888120009039,59.9768405074572,96.27893881172587,62.320195977544664,59.72861786329583,7.871725955100765,7.871725955100765,Stratovolcano
1010,China,40.042999267578125,76.62100219726562,18.899999618530273,6.300000190734863,,24.0,24.0,24.0,0.0,,1996,03,19,24.0,POINT (76.62100219726562 40.04299926757812),20.525387825821856,42.1267619834575,44.60437797050412,40.28364823128713,71.16778000346437,50.25377018966598,80.04161851424664,49.59583425307813,62.21766461319158,62.19585553721295,49.88207810334125,32.681827990671955,188.6164566106575,181.3782538588727,20.525387825821856,20.525387825821856,Stratovolcano
1011,Ecuador,-1.031000018119812,-78.65899658203125,9.0,5.900000095367432,L,27.0,27.0,,0.0,,1996,03,28,27.0,POINT (-78.65899658203125 -1.031000018119812),0.3744893179257077,12.907942083081357,12.475490998199438,13.60339230076935,21.618552958114876,44.201503177554024,15.748535632835933,94.09868594232262,71.00725834656542,102.06403636168463,54.33801934766358,91.23716788873982,55.76575291828071,52.538764007843675,0.3744893179257077,0.3744893179257077,Stratovolcano
1012,Papua New Guinea,-6.51800012588501,155.11599731445312,38.0,7.199999809265137,,1.0,1.0,1.0,0.0,,1996,04,29,1.0,POINT (155.1159973144531 -6.51800012588501),0.5040017704148121,4.266554808727657,3.6819237889282475,7.295256707011745,3.78041791142692,62.38593185763664,0.4263568029758486,38.15706879976351,143.74208465345552,53.71451278311815,117.67125867604824,44.406788166837124,271.7562059378755,264.7969045430538,0.4263568029758486,0.4263568029758486,Cinder Cone
1013,China,40.777000427246094,109.71299743652344,24.5,6.0,,18.0,18.0,26.0,0.0,,1996,05,03,26.0,POINT (109.7129974365234 40.77700042724609),12.265370580295865,22.80776937139895,22.769318890837265,22.083593026449442,40.76393071250768,18.22857879400229,47.27813347443244,22.974614598101528,94.99617340012139,43.00732748166364,78.5094527135965,29.96890712856485,221.6922671577879,214.4470738320016,12.265370580295865,12.265370580295865,Stratovolcano
1014,Turkey,40.696998596191406,35.292999267578125,25.799999237060547,5.699999809265137,L,0.0,0.0,1.0,0.0,,1996,08,14,1.0,POINT (35.29299926757812 40.69699859619141),7.6259672461534205,2.2631066007574154,10.785899400529152,38.39823897611902,61.25134403807291,41.12946309736497,121.07857127511664,9.093301900330909,23.44815806163007,20.863361545433328,32.78981166512986,31.384551292646027,147.28361601238123,140.04739339784157,2.2631066007574154,2.2631066007574154,Caldera
1015,China,27.211999893188477,100.33200073242188,8.199999809265137,5.5,,,,1.0,0.0,,1996,09,24,1.0,POINT (100.3320007324219 27.21199989318848),8.374470495147788,24.52161876092972,32.106122553862406,22.658225906905272,45.211085929350745,33.57998167043425,60.33447863128145,31.68447117108091,84.75566403048768,55.60402030135029,64.87642743358204,16.257134767352262,212.93132075610026,205.76798236745762,8.374470495147788,8.374470495147788,Stratovolcano
